22:3:16 - 7/12/2021 - 18.97 - 0.00 - Traffic(0.00) Geophony(0.21) Biophony(0.02) Anthrophony(0.78) 
22:3:57 - 7/12/2021 - 20.74 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:58 - 7/12/2021 - 20.78 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:3:59 - 7/12/2021 - 20.78 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:0 - 7/12/2021 - 20.78 - 0.00 - Traffic(0.01) Geophony(0.00) Biophony(0.00) Anthrophony(0.99) 
22:4:1 - 7/12/2021 - 20.80 - 0.00 - Traffic(0.90) Geophony(0.00) Biophony(0.00) Anthrophony(0.10) 
22:4:2 - 7/12/2021 - 20.83 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:3 - 7/12/2021 - 20.85 - 0.00 - Traffic(0.84) Geophony(0.02) Biophony(0.00) Anthrophony(0.14) 
22:4:4 - 7/12/2021 - 20.83 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:5 - 7/12/2021 - 20.87 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:6 - 7/12/2021 - 20.89 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:7 - 7/12/2021 - 20.91 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:8 - 7/12/2021 - 20.93 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:9 - 7/12/2021 - 20.99 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:10 - 7/12/2021 - 20.93 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:11 - 7/12/2021 - 21.00 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:12 - 7/12/2021 - 21.04 - 0.00 - Traffic(0.01) Geophony(0.00) Biophony(0.00) Anthrophony(0.99) 
22:4:13 - 7/12/2021 - 21.02 - 0.00 - Traffic(0.14) Geophony(0.00) Biophony(0.00) Anthrophony(0.86) 
22:4:14 - 7/12/2021 - 21.02 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:15 - 7/12/2021 - 21.06 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:16 - 7/12/2021 - 21.06 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:17 - 7/12/2021 - 21.10 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:18 - 7/12/2021 - 21.08 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:19 - 7/12/2021 - 21.16 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:20 - 7/12/2021 - 21.10 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:21 - 7/12/2021 - 21.14 - 0.00 - Traffic(0.79) Geophony(0.00) Biophony(0.00) Anthrophony(0.21) 
22:4:22 - 7/12/2021 - 21.16 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:23 - 7/12/2021 - 21.18 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:24 - 7/12/2021 - 21.18 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:25 - 7/12/2021 - 21.21 - 0.00 - Traffic(0.50) Geophony(0.00) Biophony(0.00) Anthrophony(0.50) 
22:4:26 - 7/12/2021 - 21.23 - 0.00 - Traffic(0.97) Geophony(0.00) Biophony(0.00) Anthrophony(0.03) 
22:4:27 - 7/12/2021 - 21.23 - 0.00 - Traffic(0.10) Geophony(0.01) Biophony(0.00) Anthrophony(0.89) 
22:4:28 - 7/12/2021 - 21.25 - 0.00 - Traffic(0.21) Geophony(0.00) Biophony(0.00) Anthrophony(0.79) 
22:4:29 - 7/12/2021 - 21.29 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:30 - 7/12/2021 - 21.27 - 0.00 - Traffic(0.10) Geophony(0.00) Biophony(0.00) Anthrophony(0.90) 
22:4:31 - 7/12/2021 - 21.31 - 0.00 - Traffic(0.03) Geophony(0.00) Biophony(0.00) Anthrophony(0.97) 
22:4:32 - 7/12/2021 - 21.33 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:33 - 7/12/2021 - 21.35 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:34 - 7/12/2021 - 21.33 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:35 - 7/12/2021 - 21.33 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:36 - 7/12/2021 - 21.33 - 0.00 - Traffic(0.00) Geophony(0.70) Biophony(0.00) Anthrophony(0.29) 
22:4:37 - 7/12/2021 - 21.37 - 0.00 - Traffic(0.21) Geophony(0.00) Biophony(0.00) Anthrophony(0.79) 
22:4:38 - 7/12/2021 - 21.42 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:39 - 7/12/2021 - 21.40 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:40 - 7/12/2021 - 21.40 - 0.00 - Traffic(0.07) Geophony(0.00) Biophony(0.00) Anthrophony(0.93) 
22:4:41 - 7/12/2021 - 21.44 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:42 - 7/12/2021 - 21.42 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:43 - 7/12/2021 - 21.44 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:44 - 7/12/2021 - 21.44 - 0.00 - Traffic(0.03) Geophony(0.00) Biophony(0.00) Anthrophony(0.97) 
22:4:45 - 7/12/2021 - 21.48 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.10) Anthrophony(0.90) 
22:4:46 - 7/12/2021 - 21.46 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:47 - 7/12/2021 - 21.50 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.00) Anthrophony(0.07) 
22:4:48 - 7/12/2021 - 21.50 - 0.00 - Traffic(0.39) Geophony(0.00) Biophony(0.00) Anthrophony(0.61) 
22:4:49 - 7/12/2021 - 21.52 - 0.00 - Traffic(0.06) Geophony(0.06) Biophony(0.01) Anthrophony(0.87) 
22:4:50 - 7/12/2021 - 21.50 - 0.00 - Traffic(0.01) Geophony(0.00) Biophony(0.00) Anthrophony(0.99) 
22:4:51 - 7/12/2021 - 21.52 - 0.00 - Traffic(0.29) Geophony(0.00) Biophony(0.00) Anthrophony(0.71) 
22:4:52 - 7/12/2021 - 21.57 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:53 - 7/12/2021 - 21.56 - 0.00 - Traffic(0.21) Geophony(0.00) Biophony(0.00) Anthrophony(0.79) 
22:4:54 - 7/12/2021 - 21.59 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:55 - 7/12/2021 - 21.57 - 0.00 - Traffic(0.09) Geophony(0.00) Biophony(0.04) Anthrophony(0.86) 
22:4:56 - 7/12/2021 - 21.57 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:57 - 7/12/2021 - 21.63 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:58 - 7/12/2021 - 21.61 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:4:59 - 7/12/2021 - 21.63 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:5:0 - 7/12/2021 - 21.65 - 0.00 - Traffic(0.01) Geophony(0.00) Biophony(0.00) Anthrophony(0.99) 
22:5:1 - 7/12/2021 - 21.67 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:5:2 - 7/12/2021 - 21.67 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:5:3 - 7/12/2021 - 21.63 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:5:4 - 7/12/2021 - 21.71 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:5:5 - 7/12/2021 - 21.73 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:5:6 - 7/12/2021 - 21.71 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:5:7 - 7/12/2021 - 21.77 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.04) Anthrophony(0.95) 
22:5:8 - 7/12/2021 - 21.73 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:5:9 - 7/12/2021 - 21.78 - 0.00 - Traffic(0.02) Geophony(0.00) Biophony(0.00) Anthrophony(0.98) 
22:5:10 - 7/12/2021 - 21.78 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:5:11 - 7/12/2021 - 21.80 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:5:12 - 7/12/2021 - 21.78 - 0.00 - Traffic(0.14) Geophony(0.01) Biophony(0.02) Anthrophony(0.83) 
22:5:13 - 7/12/2021 - 21.86 - 0.00 - Traffic(0.00) Geophony(0.41) Biophony(0.17) Anthrophony(0.41) 
22:5:14 - 7/12/2021 - 21.82 - 0.00 - Traffic(0.00) Geophony(0.20) Biophony(0.02) Anthrophony(0.77) 
22:5:15 - 7/12/2021 - 21.78 - 0.00 - Traffic(0.06) Geophony(0.23) Biophony(0.15) Anthrophony(0.56) 
22:5:16 - 7/12/2021 - 21.78 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:17 - 7/12/2021 - 21.86 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:18 - 7/12/2021 - 21.86 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:19 - 7/12/2021 - 21.92 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:20 - 7/12/2021 - 21.90 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:21 - 7/12/2021 - 21.88 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:22 - 7/12/2021 - 21.92 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:23 - 7/12/2021 - 21.94 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:24 - 7/12/2021 - 21.94 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:25 - 7/12/2021 - 21.96 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:26 - 7/12/2021 - 21.96 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:27 - 7/12/2021 - 21.96 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:28 - 7/12/2021 - 21.97 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:29 - 7/12/2021 - 22.01 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:30 - 7/12/2021 - 21.94 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:31 - 7/12/2021 - 22.01 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:32 - 7/12/2021 - 22.03 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:33 - 7/12/2021 - 22.03 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:34 - 7/12/2021 - 22.03 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:35 - 7/12/2021 - 22.07 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:36 - 7/12/2021 - 22.11 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:37 - 7/12/2021 - 22.07 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:38 - 7/12/2021 - 22.11 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:39 - 7/12/2021 - 22.11 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:40 - 7/12/2021 - 22.11 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:41 - 7/12/2021 - 22.13 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:42 - 7/12/2021 - 22.16 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:43 - 7/12/2021 - 22.15 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:44 - 7/12/2021 - 22.13 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:45 - 7/12/2021 - 22.16 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:46 - 7/12/2021 - 22.22 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:47 - 7/12/2021 - 22.18 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:48 - 7/12/2021 - 22.22 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:49 - 7/12/2021 - 22.22 - 0.00 - Traffic(0.02) Geophony(0.10) Biophony(0.00) Anthrophony(0.89) 
22:5:50 - 7/12/2021 - 22.22 - 0.00 - Traffic(0.00) Geophony(0.26) Biophony(0.11) Anthrophony(0.63) 
22:5:51 - 7/12/2021 - 22.22 - 0.00 - Traffic(0.02) Geophony(0.14) Biophony(0.04) Anthrophony(0.80) 
22:5:52 - 7/12/2021 - 22.22 - 0.00 - Traffic(0.16) Geophony(0.16) Biophony(0.10) Anthrophony(0.59) 
22:5:53 - 7/12/2021 - 22.26 - 0.00 - Traffic(0.11) Geophony(0.16) Biophony(0.11) Anthrophony(0.62) 
22:5:54 - 7/12/2021 - 22.28 - 0.00 - Traffic(0.22) Geophony(0.09) Biophony(0.14) Anthrophony(0.54) 
22:5:55 - 7/12/2021 - 22.20 - 0.00 - Traffic(0.00) Geophony(0.12) Biophony(0.18) Anthrophony(0.70) 
22:5:56 - 7/12/2021 - 22.28 - 0.00 - Traffic(0.03) Geophony(0.47) Biophony(0.03) Anthrophony(0.47) 
22:5:57 - 7/12/2021 - 22.30 - 0.00 - Traffic(0.54) Geophony(0.06) Biophony(0.06) Anthrophony(0.34) 
22:5:58 - 7/12/2021 - 22.26 - 0.00 - Traffic(0.04) Geophony(0.36) Biophony(0.23) Anthrophony(0.36) 
22:5:59 - 7/12/2021 - 22.32 - 0.00 - Traffic(0.16) Geophony(0.11) Biophony(0.11) Anthrophony(0.62) 
22:6:0 - 7/12/2021 - 22.28 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:1 - 7/12/2021 - 22.30 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.39) Anthrophony(0.61) 
22:6:2 - 7/12/2021 - 22.30 - 0.00 - Traffic(0.00) Geophony(0.28) Biophony(0.05) Anthrophony(0.68) 
22:6:3 - 7/12/2021 - 22.34 - 0.00 - Traffic(0.00) Geophony(0.85) Biophony(0.01) Anthrophony(0.14) 
22:6:4 - 7/12/2021 - 22.34 - 0.00 - Traffic(0.00) Geophony(0.10) Biophony(0.00) Anthrophony(0.90) 
22:6:5 - 7/12/2021 - 22.35 - 0.00 - Traffic(0.00) Geophony(0.79) Biophony(0.00) Anthrophony(0.21) 
22:6:6 - 7/12/2021 - 22.35 - 0.00 - Traffic(0.39) Geophony(0.00) Biophony(0.00) Anthrophony(0.61) 
22:6:7 - 7/12/2021 - 22.35 - 0.00 - Traffic(0.04) Geophony(0.00) Biophony(0.00) Anthrophony(0.95) 
22:6:8 - 7/12/2021 - 22.37 - 0.00 - Traffic(0.10) Geophony(0.16) Biophony(0.16) Anthrophony(0.59) 
22:6:9 - 7/12/2021 - 22.37 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:10 - 7/12/2021 - 22.39 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:11 - 7/12/2021 - 22.37 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:12 - 7/12/2021 - 22.37 - 0.00 - Traffic(0.07) Geophony(0.00) Biophony(0.00) Anthrophony(0.93) 
22:6:13 - 7/12/2021 - 22.37 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:14 - 7/12/2021 - 22.43 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:15 - 7/12/2021 - 22.41 - 0.00 - Traffic(0.01) Geophony(0.00) Biophony(0.00) Anthrophony(0.99) 
22:6:16 - 7/12/2021 - 22.47 - 0.00 - Traffic(0.01) Geophony(0.00) Biophony(0.00) Anthrophony(0.98) 
22:6:17 - 7/12/2021 - 22.45 - 0.00 - Traffic(0.07) Geophony(0.00) Biophony(0.00) Anthrophony(0.93) 
22:6:18 - 7/12/2021 - 22.45 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:19 - 7/12/2021 - 22.49 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:20 - 7/12/2021 - 22.45 - 0.00 - Traffic(0.04) Geophony(0.00) Biophony(0.00) Anthrophony(0.96) 
22:6:21 - 7/12/2021 - 22.45 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:22 - 7/12/2021 - 22.47 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:23 - 7/12/2021 - 22.49 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:24 - 7/12/2021 - 22.49 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:25 - 7/12/2021 - 22.47 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:26 - 7/12/2021 - 22.53 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:27 - 7/12/2021 - 22.54 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:28 - 7/12/2021 - 22.54 - 0.00 - Traffic(0.00) Geophony(0.02) Biophony(0.01) Anthrophony(0.97) 
22:6:29 - 7/12/2021 - 22.53 - 0.00 - Traffic(0.21) Geophony(0.01) Biophony(0.00) Anthrophony(0.79) 
22:6:30 - 7/12/2021 - 22.53 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:31 - 7/12/2021 - 22.56 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:32 - 7/12/2021 - 22.56 - 0.00 - Traffic(0.01) Geophony(0.78) Biophony(0.00) Anthrophony(0.21) 
22:6:33 - 7/12/2021 - 22.56 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:34 - 7/12/2021 - 22.54 - 0.00 - Traffic(0.66) Geophony(0.07) Biophony(0.00) Anthrophony(0.27) 
22:6:35 - 7/12/2021 - 22.53 - 0.00 - Traffic(0.01) Geophony(0.00) Biophony(0.00) Anthrophony(0.99) 
22:6:36 - 7/12/2021 - 22.54 - 0.00 - Traffic(0.38) Geophony(0.03) Biophony(0.00) Anthrophony(0.59) 
22:6:37 - 7/12/2021 - 22.54 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:38 - 7/12/2021 - 22.58 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
22:6:39 - 7/12/2021 - 22.60 - 0.00 - Traffic(0.00) Geophony(0.00) Biophony(0.00) Anthrophony(1.00) 
